noise,function,epoch,total_strength,non_gt_strength,total_detected_pairs,non_gt_detected_pairs,pct_non_gt_strength
0.0,1,125,578.3331279754639,425.39122200012207,45,34,0.7355470427386079
0.0,1,130,574.1279544830322,422.499303817749,45,34,0.7358974606944257
0.0,1,135,573.311450958252,421.6832342147827,45,34,0.7355220857876927
0.0,1,140,572.4677972793579,421.19371795654297,45,34,0.7357509364863093
0.0,1,145,574.3493070602417,422.5490970611572,45,34,0.7357005429743413
0.0,1,150,571.223536491394,420.13897609710693,45,34,0.735507116316864
0.0,1,155,566.8379430770874,416.7430086135864,45,34,0.7352066206988379
0.0,1,160,568.8202753067017,418.23722648620605,45,34,0.7352713056170447
0.0,1,165,570.1501731872559,419.3014717102051,45,34,0.7354228612546472
0.0,1,170,571.222752571106,420.1970672607422,45,34,0.7356098218591796
0.0,1,175,572.1531496047974,420.7837314605713,45,34,0.735438984738995
